ticker,name,open,close,volume,dollar_volume,pct_change
8918,"Land Co., Ltd.",9.0,10.0,158113800.0,1581138000.0,0.0
9432,Nippon Telegraph and Telephone Corporation,158.1999969482422,158.1999969482422,140157800.0,22172963532.27234,0.0012658034698872626
7527,SystemSoft Corp.,69.0,90.0,110510300.0,9945927000.0,0.34328358208955223
4564,OncoTherapy Science Inc.,27.0,28.0,99064600.0,2773808800.0,0.07692307692307693
9501,"Tokyo Electric Power Company Holdings, Inc.",692.4000244140625,659.9000244140625,92079400.0,60763198308.03223,-0.037485344350998456
3350,Metaplanet Inc.,648.0,589.0,71681500.0,42220403500.0,-0.03125
9434,SoftBank Corp.,227.89999389648438,225.89999389648438,65303900.0,14752150611.416626,-0.013106160244620593
3323,"Recomm Co., Ltd.",168.0,161.0,62105400.0,9998969400.0,-0.012269938650306749
6740,Japan Display Inc.,28.0,25.0,47360300.0,1184007500.0,-0.07407407407407407
8306,"Mitsubishi UFJ Financial Group, Inc.",2366.5,2369.0,43209500.0,102363305500.0,0.01174460815716421
